行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
淮北市本级,淮北市特勤消防站（烈山区消防救援指挥中心）,烈山区青谷路南、规划振河路西,1.631995,公用设施用地,划拨,,国家机构,,淮北市烈山区公安消防大队,,2020年5月22日,2021年10月31日,2022年10月31日,
淮北市本级,淮北市公交、客运综合枢纽站建设项目,烈山区梧桐路西、望湖路北,6.13268,交通服务场站用地,划拨,,城市公共交通业,0,淮北淮海建设工程有限责任公司,,2020年5月21日,2021年10月21日,2022年10月21日,
淮北市本级,220千伏龙湖输变电工程,杜集区矿山集街道南山村境内,0.967479,公用设施用地,划拨,,其它,0,国网安徽省电力有限公司淮北供电公司,,2020年5月20日,2020年8月1日,2021年8月1日,
濉溪县,安徽临涣工业园循环经济发展有限公司,安徽（淮北）新型煤化工合成基地淮新北路东、创新路南,3.186965,仓储用地,挂牌出让,50,其他金融服务,431,安徽临涣工业园循环经济发展有限公司,0.6,2020年5月9日,2020年11月9日,2021年11月9日,
濉溪县,安徽临涣工业园循环经济发展有限公司,安徽（淮北）新型煤化工合成基地淮新北路东、基地北路南,5.588546,仓储用地,挂牌出让,50,其他金融服务,755,安徽临涣工业园循环经济发展有限公司,0.6,2020年5月9日,2020年11月9日,2021年11月9日,
濉溪县,村民文体广场建设项目,刘桥镇丁楼村濉永路北侧,0.1663,公园与绿地,划拨,,体育,,濉溪县荣林休闲健身有限公司,,2020年5月6日,2020年5月6日,2020年5月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇大郭村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇新风村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇大曹村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇新建村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇新风村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇大郭村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇大郭村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,中煤矿山建设集团安徽安厦房地产有限责任公司,濉溪县濉溪镇沱河路南、滨河东路东,1.866891,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,4360,中煤矿山建设集团安徽安厦房地产有限责任公司,1.002.20,2020年5月6日,2020年7月6日,2021年7月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇新风村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县孙疃镇炮楼村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,安徽濉芜现代产业园投资有限公司,濉溪县濉芜产业园芜湖四路北、濉溪六路东,5.788475,工业用地,拍卖出让,50,其他金融服务,811,安徽濉芜现代产业园投资有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇大郭村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇大郭村,0.03062,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县孙疃镇炮楼村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县孙疃镇耿圩村,1.1,工业用地,拍卖出让,50,电力、热力的生产和供应业,143,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县孙疃镇炮楼村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县孙疃镇燕头村,0.03062,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县孙疃镇炮楼村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇五里铺村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇大曹村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇五里铺村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,中煤矿山建设集团安徽安厦房地产有限责任公司,濉溪县濉溪镇沱河路南、孟山中路西,2.072985,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,4940,中煤矿山建设集团安徽安厦房地产有限责任公司,1.002.20,2020年5月6日,2020年7月6日,2021年7月6日,
濉溪县,中煤矿山建设集团安徽安厦房地产有限责任公司,濉溪县南环城路北、符夹线东,6.563152,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,22030,中煤矿山建设集团安徽安厦房地产有限责任公司,1.002.20,2020年5月6日,2020年7月6日,2022年7月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县孙疃镇炮楼村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,淮北新集房地产开发有限公司,刘桥镇经一路西、恒源路东,1.463786,城镇住宅用地,挂牌出让,70,房地产业,1125,淮北新集房地产开发有限公司,1.001.80,2020年5月6日,2021年5月6日,2022年5月6日,
濉溪县,华润风电（濉溪）有限公司,濉溪县四铺镇新建村,0.03063,工业用地,拍卖出让,50,电力、热力的生产和供应业,4,华润风电（濉溪）有限公司,1,2020年5月6日,2020年11月6日,2021年11月6日,
濉溪县,中煤矿山建设集团安徽安厦房地产有限责任公司,濉溪县濉溪镇东关路南、滨河东路东,3.598215,城镇住宅用地,挂牌出让,其他商服用地40年; 城镇住宅用地70年;,房地产业,8215,中煤矿山建设集团安徽安厦房地产有限责任公司,1.002.20,2020年5月6日,2020年7月6日,2021年7月6日,
濉溪县,安徽洪基机械有限公司,濉溪县濉芜产业园芜湖四路北、濉溪六路西,3.326604,工业用地,拍卖出让,50,专用设备制造业,466,安徽洪基机械有限公司,1,2020年4月30日,2020年10月30日,2021年10月30日,
濉溪县,关于濉溪县人防物资储备库建设项目,濉溪县河西区岱河西路北、百合路东,0.703015,公用设施用地,划拨,,公共设施管理业,,濉溪县住房和城乡建设局,,2020年4月26日,2020年6月26日,2021年12月26日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇新庄村,0.039927,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,安徽伯华氢能源科技有限公司,濉溪濉芜产业园濉溪八路东、芜湖四路北,4.261653,工业用地,挂牌出让,50,其它,597,安徽伯华氢能源科技有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县百善镇徐楼村,0.039928,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇北陈村,0.039927,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇新庄村,0.039927,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇北陈村,0.039894,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇新庄村,0.039927,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,安徽松菱电器有限公司,濉溪濉芜产业园濉芜大道南,2.12151,工业用地,挂牌出让,50,家用制冷电器具制造,298,安徽松菱电器有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县百善镇苇菠村,0.039928,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇新庄村,0.039927,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县刘桥镇火神庙村,0.039929,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县百善镇丁楼村,0.039928,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇新庄村,0.039927,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县濉芜现代产业园向阳村,0.039928,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县百善镇苇菠村,0.039929,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇北陈村,0.039927,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县百善镇苇菠村,0.039928,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇新庄村,0.039926,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县刘桥镇留古村,0.039928,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县百善镇郭屯村,0.039928,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇周陈村,0.039927,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县百善镇闫集村,1.199998,工业用地,挂牌出让,50,电力、热力的生产和供应业,168,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇周陈村,0.039927,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,安徽松菱电器有限公司,濉溪濉芜产业园芜湖四路北、海棠路西,2.310353,工业用地,挂牌出让,50,家用制冷电器具制造,324,安徽松菱电器有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,淮北市中远溪风力发电有限公司,濉溪县四铺镇新庄村,0.039927,工业用地,挂牌出让,50,电力、热力的生产和供应业,6,淮北市中远溪风力发电有限公司,1,2020年4月23日,2020年10月23日,2021年10月23日,
濉溪县,安徽风正新材料科技有限公司,濉溪濉芜产业园芜湖四路北、海棠路东,1.874492,工业用地,挂牌出让,50,金属制品业,263,安徽风正新材料科技有限公司,1,2020年4月22日,2020年10月22日,2021年10月22日,
濉溪县,濉溪宿煤新型建材有限公司,五沟镇张圩村用地南、界沟矿业有限公司北,0.7402,工业用地,挂牌出让,50,其它,100,濉溪宿煤新型建材有限公司,1,2020年4月22日,2020年10月22日,2021年10月22日,
濉溪县,关于濉溪县国家综合档案馆项目,濉溪县八里村,0.48222,文化设施用地,划拨,,文化艺术业,,濉溪县档案馆,0.701.80,2020年4月20日,2020年6月20日,2021年12月20日,
濉溪县,关于孙疃实验小学教学楼工程项目,孙疃镇孙疃村,5,教育用地,划拨,,教育业,,濉溪县教育局,1.2,2020年4月20日,2020年6月20日,2021年12月20日,
濉溪县,濉溪县固强新型墙体材料厂,五沟镇道路南、孟集村用地东,1.35437,工业用地,挂牌出让,50,其它,183,濉溪县固强新型墙体材料厂,1,2020年4月16日,2020年10月16日,2021年10月16日,
濉溪县,关于双堆集镇邹圩新村建设项目一,双堆集镇芦沟村,17.008513,农村宅基地,划拨,,房地产业,,濉溪县双堆集镇人民政府,1.6,2020年4月14日,2020年6月14日,2021年12月14日,
濉溪县,关于安徽（淮北）新型煤化工合成材料基地路网工程项目,濉溪县韩村镇煤化工基地境内,49.803054,公路用地,划拨,,道路运输业,,安徽（淮北）新型煤化工合成材料基地管理委员会,,2020年4月14日,2020年6月14日,2021年12月14日,
濉溪县,关于濉溪县百善镇黄新庄村福利制衣厂项目,百善镇黄新庄村,5.758497,社会福利用地,划拨,,社会福利业,,濉溪县百善镇人民政府,1,2020年4月14日,2020年6月14日,2021年12月14日,
濉溪县,关于濉溪县柳孜运河遗址环境保护整治工程项目,百善镇道口村,1.688892,城镇村道路用地,划拨,,道路运输业,,濉溪县百善镇人民政府,,2020年4月14日,2020年6月14日,2021年12月14日,
濉溪县,关于双堆集镇邹圩新村建设项目二,双堆集镇芦沟村,7.894208,农村宅基地,划拨,,房地产业,,濉溪县双堆集镇人民政府,1.6,2020年4月14日,2020年6月14日,2021年12月14日,
濉溪县,关于双堆集镇邹圩新村建设项目三,双堆集镇芦沟村,2.044591,农村宅基地,划拨,,房地产业,,濉溪县双堆集镇人民政府,1.6,2020年4月14日,2020年6月14日,2021年12月14日,
濉溪县,关于濉溪县四铺镇城乡道路客运站项目,四铺镇政府南,0.539319,交通服务场站用地,划拨,,城市公共交通业,,濉溪县四铺镇人民政府,1,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,濉溪县河西新区紫薇路路网建设项目,濉溪县河西区岱河西路南、沱河西路北,1.745,公路用地,划拨,,道路运输业,,濉溪富强实业有限公司,,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,关于濉溪县孙疃镇陈楼村拆迁新址项目（二）,孙疃镇陈楼村,3.059547,农村宅基地,划拨,,房地产业,,濉溪县孙疃镇人民政府,1.1,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,关于2019年濉溪县部分学校操场维修改造项目,濉溪县百善镇,1.089508,教育用地,划拨,,教育业,,濉溪县徐楼中心学校,1.2,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,关于濉溪县孙疃镇代庙村拆迁新址项目（二）,孙疃镇代庙村,5.778588,农村宅基地,划拨,,房地产业,,濉溪县孙疃镇人民政府,1.1,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,关于濉溪县孙疃镇陈楼村拆迁新址项目,孙疃镇陈楼村,7.16129,农村宅基地,划拨,,房地产业,,濉溪县孙疃镇人民政府,1.1,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,关于刘桥镇公益性公墓建设项目,刘桥镇前吕楼村濉永路北侧,2.871204,殡葬用地,划拨,,公共设施管理业,,濉溪县刘桥镇人民政府,,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,关于铁佛镇崔楼村文化广场及传习中心建设项目,濉溪县铁佛镇崔楼村,0.273521,文化设施用地,划拨,,公共设施管理业,,濉溪县铁佛镇人民政府,2.2,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,关于濉溪县圣安幼儿园项目,孙疃镇陈楼村,0.28314,教育用地,划拨,,教育业,,濉溪县圣安幼儿园,1.2,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,关于淮北市徐楼水厂及配套管网工程项目,濉溪芜湖现代产业园,2.179689,公用设施用地,划拨,,公共设施管理业,,淮北市供水有限责任公司,1,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,关于濉溪县孙疃镇代庙村拆迁新址项目,孙疃镇代庙村,4.2117,农村宅基地,划拨,,房地产业,,濉溪县孙疃镇人民政府,1.1,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,安徽临涣工业园循环经济发展有限公司,濉溪县百善镇雁鸣组团（南部次中心）青阳路东、经二路西,4.126505,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,3770,安徽临涣工业园循环经济发展有限公司,1.002.20,2020年4月13日,2021年4月13日,2022年4月13日,
濉溪县,安徽临涣工业园循环经济发展有限公司,濉溪县百善镇雁鸣组团（南部次中心）龙腾路北、青阳路东,4.404478,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,4015,安徽临涣工业园循环经济发展有限公司,1.002.20,2020年4月13日,2021年4月13日,2022年4月13日,
濉溪县,关于韩村镇小李庄融资路网建设项目,濉溪县韩村镇小李庄,0.504496,公路用地,划拨,,道路运输业,,濉溪县韩村镇人民政府,,2020年4月13日,2020年6月13日,2021年12月13日,
濉溪县,安徽得名置业有限公司,濉溪县濉溪镇北环路南、二关路西,1.254456,其他商服用地,挂牌出让,40,房地产业,4260,安徽得名置业有限公司,3.5,2020年4月8日,2020年9月8日,2021年9月8日,
濉溪县,淮北汉都置业有限公司,濉溪县河西区沱河西路北、合欢路东,7.136207,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,房地产业,26000,淮北汉都置业有限公司,1.002.20,2020年4月8日,2021年4月8日,2023年4月8日,
濉溪县,安徽得名置业有限公司,濉溪县闸河路南、烈山路西,1.485561,其他商服用地,挂牌出让,40,房地产业,6155,安徽得名置业有限公司,3.5,2020年4月8日,2020年9月8日,2021年9月8日,
淮北市本级,中煤矿山建设集团淮北安屹房地产开发有限公司,烈山区沱河路南、规划栗园路西,4.724795,城镇住宅用地,挂牌出让,70,房地产业,7500,中煤矿山建设集团淮北安屹房地产开发有限公司,1.002.50,2020年4月2日,2021年10月18日,2023年10月18日,
淮北市本级,淮北市天汇建设投资有限责任公司,杜集区全民健身中心南、光明路东,0.653277,商务金融用地,挂牌出让,40,房地产业,1090,淮北市天汇建设投资有限责任公司,2,2020年4月2日,2021年10月18日,2022年10月18日,
淮北市本级,淮北国金置业有限公司,相山区桓谭路南、方安路东,4.382741,城镇住宅用地,挂牌出让,70,房地产业,16550,淮北国金置业有限公司,1.002.50,2020年4月2日,2021年10月18日,2023年10月18日,
濉溪县,濉溪县建设开发有限公司,濉溪经济开发区白杨路北、国槐路东,5.5845,城镇住宅用地,挂牌出让,70,建筑业,10900,濉溪县建设开发有限公司,1.002.00,2020年4月1日,2021年4月1日,2023年4月1日,
濉溪县,关于淮北市S101合相路改建二期工程项目,濉溪县百善镇境内,44.1963,公路用地,划拨,,道路运输业,,淮北市公路管理局,,2020年3月24日,2020年5月24日,2021年11月24日,
淮北市本级,110千伏滂汪变电站,杜集区富强路和青春路交叉口东北角,0.641991,公用设施用地,划拨,,其它,,国网安徽省电力有限公司淮北供电公司,,2020年3月17日,2020年4月30日,2021年4月1日,
濉溪县,淮北市星光新材料科技有限公司,安徽（淮北）新型煤化工合成材料基地常泰路南、临白路西,0.235576,工业用地,挂牌出让,50,其它,32,淮北市星光新材料科技有限公司,0.6,2020年3月6日,2020年9月6日,2021年9月6日,
濉溪县,安徽临涣工业园循环经济发展有限公司,安徽（淮北）新型煤化工合成材料基地淮中北路东、创新路北,4.482428,工业用地,挂牌出让,50,其它,606,安徽临涣工业园循环经济发展有限公司,0.6,2020年3月6日,2020年9月6日,2021年9月6日,
濉溪县,关于淮北南部次中心起步区龙腾路建设项目,濉溪县百善镇青卫村、叶刘湖村,11.624133,城镇村道路用地,划拨,,道路运输业,,淮北中濉建设发展有限公司,,2020年3月6日,2020年5月6日,2021年11月6日,
濉溪县,关于淮北南部次中心起步区青沟路及综合管廊建设项目,濉溪县百善镇青卫村、叶刘湖村,7.89628,城镇村道路用地,划拨,,道路运输业,,淮北中濉建设发展有限公司,,2020年3月5日,2020年5月5日,2021年11月5日,
濉溪县,安徽山淮交通设备有限公司,濉溪县百善镇茶庵村用地西,2.000193,工业用地,挂牌出让,50,交通运输设备制造业,281,安徽山淮交通设备有限公司,1,2020年3月2日,2020年9月2日,2021年9月2日,
濉溪县,欧励隆工程炭（淮北）有限公司,安徽（淮北）新型煤化工合成材料基地临白路西、创新路北,10.676011,工业用地,挂牌出让,50,其它,1442,欧励隆工程炭（淮北）有限公司,0.6,2020年3月2日,2020年9月2日,2021年9月2日,
濉溪县,安徽碳鑫科技有限公司,安徽（淮北）新型煤化工合成材料基地青芦铁路南、淮新南路西,2.097007,工业用地,挂牌出让,50,其它,284,安徽碳鑫科技有限公司,0.6,2020年2月27日,2020年8月27日,2021年8月27日,
濉溪县,安徽泓泽新材料科技有限公司,安徽（淮北）新型煤化工合成材料基地创新路南、临白路西,0.540803,工业用地,挂牌出让,50,其它,74,安徽泓泽新材料科技有限公司,0.6,2020年2月27日,2020年8月27日,2021年8月27日,
濉溪县,濉溪县康帅门业有限公司,濉溪县百善镇百善村民委员会用地南,1,工业用地,挂牌出让,50,其它,140,濉溪县康帅门业有限公司,1,2020年2月27日,2020年8月27日,2021年8月27日,
濉溪县,关于濉溪县通济老年服务中心建设项目,百善镇道口村,0.287491,社会福利用地,划拨,,社会福利业,,濉溪县通济老年服务中心,1.2,2020年2月25日,2020年4月25日,2021年10月25日,
濉溪县,安徽大昌矿业集团有限公司,濉溪县铁佛镇崔楼村耕地北、生产路西,3.383741,工业用地,挂牌出让,50,铁矿采选,457,安徽大昌矿业集团有限公司,1,2020年2月24日,2020年8月24日,2021年8月24日,
濉溪县,关于濉芜现代产业园商贸基础设施建设项目,濉芜现代产业园区内,4.300451,公路用地,划拨,,道路运输业,,安徽濉芜现代产业园投资有限公司,,2020年2月24日,2020年4月24日,2021年10月24日,
濉溪县,安徽大昌矿业集团有限公司,濉溪县铁佛镇濉岳路东、崔楼村耕地西,1.631092,工业用地,挂牌出让,50,铁矿采选,221,安徽大昌矿业集团有限公司,1,2020年2月24日,2020年8月24日,2021年8月24日,
